departamento,municipio
SANTANDER,GUAPOTÁ
SANTANDER,OIBA
SANTANDER,CAPITANEJO
SANTANDER,MOGOTES
SANTANDER,BARBOSA
SANTANDER,GÁMBITA
SANTANDER,BUCARAMANGA
SANTANDER,PUENTE NACIONAL
SANTANDER,ARATOCA
SANTANDER,SURATÁ
SANTANDER,PUERTO WILCHES
SANTANDER,SAN ANDRÉS
SANTANDER,CHIPATÁ
SANTANDER,GUAVATÁ
SANTANDER,VETAS
SANTANDER,RIONEGRO
SANTANDER,BETULIA
SANTANDER,CHIMA
SANTANDER,SOCORRO
SANTANDER,SUAITA
SANTANDER,LA BELLEZA
SANTANDER,PÁRAMO
SANTANDER,FLORIÁN
SANTANDER,SAN JOSÉ DE MIRANDA
SANTANDER,SAN JOAQUÍN
SANTANDER,PALMAR
SANTANDER,VÉLEZ
SANTANDER,SANTA BÁRBARA
SANTANDER,PINCHOTE
SANTANDER,HATO
SANTANDER,ALBANIA
SANTANDER,MOLAGAVITA
SANTANDER,EL CARMEN DE CHUCURÍ
SANTANDER,CHARALÁ
SANTANDER,CIMITARRA
SANTANDER,MÁLAGA
SANTANDER,ZAPATOCA
SANTANDER,GUADALUPE
SANTANDER,OCAMONTE
SANTANDER,SAN MIGUEL
SANTANDER,PUERTO PARRA
SANTANDER,CONTRATACIÓN
SANTANDER,SAN VICENTE DE CHUCURÍ
SANTANDER,SIMACOTA
SANTANDER,CURITÍ
SANTANDER,AGUADA
SANTANDER,EL PLAYÓN
SANTANDER,LEBRIJA
SANTANDER,CARCASÍ
SANTANDER,CONFINES
SANTANDER,GIRÓN
SANTANDER,CALIFORNIA
SANTANDER,LA PAZ
SANTANDER,BARICHARA
SANTANDER,PIEDECUESTA
SANTANDER,VILLANUEVA
SANTANDER,JORDÁN
SANTANDER,FLORIDABLANCA
SANTANDER,MATANZA
SANTANDER,SAN GIL
SANTANDER,BARRANCABERMEJA
SANTANDER,PALMAS DEL SOCORRO
SANTANDER,EL PEÑÓN
SANTANDER,CHARTA
SANTANDER,MACARAVITA
SANTANDER,CONCEPCIÓN
SANTANDER,SAN BENITO
SANTANDER,ENCINO
SANTANDER,LANDÁZURI
SANTANDER,CERRITO
SUCRE,COROZAL
SUCRE,MORROA
SUCRE,PALMITO
SUCRE,CAIMITO
SUCRE,BUENAVISTA
SUCRE,SAMPUÉS
SUCRE,SAN MARCOS
SUCRE,SANTIAGO DE TOLÚ
SUCRE,EL ROBLE
SUCRE,GALERAS
SUCRE,SAN BENITO ABAD
SUCRE,CHALÁN
SUCRE,SAN ONOFRE
SUCRE,GUARANDA
SUCRE,SAN JUAN DE BETULIA
SUCRE,COLOSÓ
SUCRE,MAJAGUAL
SUCRE,SINCELEJO
SUCRE,OVEJAS
SUCRE,COVEÑAS
SUCRE,LOS PALMITOS
SUCRE,SUCRE
SUCRE,TOLÚ VIEJO
SUCRE,SAN LUIS DE SINCÉ
TOLIMA,SANTA ISABEL
TOLIMA,MURILLO
TOLIMA,FALAN
TOLIMA,VILLARRICA
TOLIMA,FRESNO
TOLIMA,VILLAHERMOSA
TOLIMA,DOLORES
TOLIMA,ALVARADO
TOLIMA,COYAIMA
TOLIMA,FLANDES
TOLIMA,CASABIANCA
TOLIMA,NATAGAIMA
TOLIMA,SAN SEBASTIÁN DE MARIQUITA
TOLIMA,CAJAMARCA
TOLIMA,IBAGUÉ
TOLIMA,ALPUJARRA
TOLIMA,CUNDAY
TOLIMA,HERVEO
TOLIMA,RIOBLANCO
TOLIMA,GUAMO
TOLIMA,ANZOÁTEGUI
TOLIMA,ICONONZO
TOLIMA,COELLO
TOLIMA,RONCESVALLES
TOLIMA,ARMERO
TOLIMA,SALDAÑA
TOLIMA,ROVIRA
TOLIMA,PRADO
TOLIMA,VENADILLO
TOLIMA,MELGAR
TOLIMA,PIEDRAS
TOLIMA,AMBALEMA
TOLIMA,PLANADAS
TOLIMA,SAN ANTONIO
TOLIMA,PALOCABILDO
TOLIMA,VALLE DE SAN JUAN
TOLIMA,SAN LUIS
TOLIMA,ATACO
TOLIMA,CARMEN DE APICALÁ
TOLIMA,LÉRIDA
TOLIMA,SUÁREZ
TOLIMA,ORTEGA
TOLIMA,CHAPARRAL
TOLIMA,HONDA
TOLIMA,ESPINAL
TOLIMA,PURIFICACIÓN
TOLIMA,LÍBANO
VALLE,RIOFRÍO
VALLE,TORO
VALLE,ULLOA
VALLE,EL CERRITO
VALLE,GUADALAJARA DE BUGA
VALLE,LA VICTORIA
VALLE,CALI
VALLE,ROLDANILLO
VALLE,ARGELIA
VALLE,CALIMA
VALLE,DAGUA
VALLE,GUACARÍ
VALLE,ANDALUCÍA
VALLE,EL CAIRO
VALLE,VIJES
VALLE,SEVILLA
VALLE,EL ÁGUILA
VALLE,YUMBO
VALLE,RESTREPO
VALLE,ALCALÁ
VALLE,SAN PEDRO
VALLE,BOLÍVAR
VALLE,FLORIDA
VALLE,CARTAGO
VALLE,TULUÁ
VALLE,YOTOCO
VALLE,LA UNIÓN
VALLE,VERSALLES
VALLE,OBANDO
VALLE,ZARZAL
VALLE,CANDELARIA
VALLE,PALMIRA
VALLE,LA CUMBRE
VALLE,ANSERMANUEVO
VALLE,CAICEDONIA
VALLE,BUGALAGRANDE
VALLE,PRADERA
VALLE,EL DOVIO
VALLE,JAMUNDÍ
VALLE,TRUJILLO
VALLE,GINEBRA
VALLE,BUENAVENTURA
VAUPES,CARURÚ
VAUPES,YAVARATÉ
VAUPES,TARAIRA
VAUPES,PACOA
VAUPES,MITÚ
VICHADA,LA PRIMAVERA
VICHADA,SANTA ROSALÍA
VICHADA,PUERTO CARREÑO
VICHADA,CUMARIBO
